Код сотрудника,Департамент,Баланс,Кол-во дней работы,Контейнер
Bobr,Департамент Строительства хаток,400.0,1,Корпоративная жизнь КРОК
SU100026,ДМ.группа маркетологов,700.0,1,"Я и КРОК, Обмен опытом и повышение экспертизы"
SU100135,ДИМС.группа СКС и Автоматизации инженерных систем,1750.0,17,"Проектный опыт, Корпоративная жизнь КРОК, Обмен опытом и повышение экспертизы, Поиск и развитие талантов, Я и КРОК"
SU100238,ДИРС.Разработка инфраструктурных продуктов.группа инженеров технической поддержки,1315.0,14,"Проектный опыт, Другое, Я и КРОК, Для новых сотрудников"
SU100262,ДИРС.Разработка инфраструктурных продуктов.группа развития бизнеса,4270.0,21,"Проектный опыт, Обмен опытом и повышение экспертизы, Croc Voices, Поиск и развитие талантов, Я и КРОК, Вклад в ИТ-образование, Другое"
SU100384,ДИРС.Разработка инфраструктурных продуктов.группа маркетинга,1820.0,16,"Корпоративная жизнь КРОК, Проектный опыт, Я и КРОК"
SU100415,ДИРС.Разработка инфраструктурных продуктов.группа маркетинга,2170.0,3,"Я и КРОК, Корпоративная жизнь КРОК, Обмен опытом и повышение экспертизы, Поиск и развитие талантов, Проектный опыт, Другое"
SU100524,"АЭД.служба охраны труда, пожарной безопасности и гражданской обороны",2740.0,4,"Обмен опытом и повышение экспертизы, Поиск и развитие талантов, Ускорение бизнес-процессов, Корпоративная жизнь КРОК, Другое, Я и КРОК"
SU100838,ДИРС.Облачные сервисы.группа сопровождения ИТ-инфраструктур,800.0,1,"Проектный опыт, Я и КРОК"
SU100839,ДТК.Цифровое производство.группа поддержки продаж цифрового производства,200.0,1,Я и КРОК
SU100858,ДПМП.группа продаж,300.0,1,"Я и КРОК, Ускорение бизнес-процессов"
SU100944,ДИМС.группа сервиса,265.0,2,"Проектный опыт, Я и КРОК, Другое"
SU101039,ДВА.группа управления проектами,4095.0,35,"Корпоративная жизнь КРОК, Проектный опыт, Поиск и развитие талантов, Квест 15-19 июля, Обмен опытом и повышение экспертизы, Я и КРОК"
SU101059,ДИРС.Информационная безопасность.группа инженеров технической поддержки по информационной безопасности,7565.0,5,"Корпоративная жизнь КРОК, Croc Voices, Вклад в ИТ-образование, Проектный опыт, Ускорение бизнес-процессов, Другое, Поиск и развитие талантов, Продвижение бренда КРОК, Я и КРОК"
SU101089,ДРПО.группа развития бизнеса,1115.0,1,"Обмен опытом и повышение экспертизы, Другое, Я и КРОК, Поиск и развитие талантов"
SU101116,ДИРС.группа инженеров поддержки баз данных,2320.0,17,"Проектный опыт, Обмен опытом и повышение экспертизы, Поиск и развитие талантов, Другое, Я и КРОК, Корпоративная жизнь КРОК"
SU101142,ДИРС.группа инженеров по вычислительной инфраструктуре,14920.0,45,"Корпоративная жизнь КРОК, Проектный опыт, Другое, Квест 15-19 июля, Обмен опытом и повышение экспертизы, Ускорение бизнес-процессов, Поиск и развитие талантов, Я и КРОК, Вклад в ИТ-образование"
SU101158,ДИРС.Облачные сервисы.группа эксплуатации облачных сервисов,1410.0,1,"Я и КРОК, Поиск и развитие талантов, Корпоративная жизнь КРОК, Ускорение бизнес-процессов"
SU101444,ДИРС.группа инженеров по вычислительной инфраструктуре,1355.0,5,"Проектный опыт, Я и КРОК, Ускорение бизнес-процессов, Корпоративная жизнь КРОК"
SU101858,ДРПО.Управление контентом и документооборот.группа разработчиков,1275.0,10,"Проектный опыт, Я и КРОК, Поиск и развитие талантов"
SU101878,ДИРС.группа администраторов сервисных проектов,3655.0,13,"Проектный опыт, Другое, Обмен опытом и повышение экспертизы, Ускорение бизнес-процессов, Поиск и развитие талантов, Я и КРОК"
SU101978,ДТК.Сервис.группа технической поддержки телефонии и Call-центров,2865.0,19,"Проектный опыт, Поиск и развитие талантов, Другое, Я и КРОК"
SU102278,ДТК.Сервис.группа технической поддержки телефонии и Call-центров,7150.0,34,"Проектный опыт, Корпоративная жизнь КРОК, Поиск и развитие талантов, Другое, Обмен опытом и повышение экспертизы, Я и КРОК, Квест 15-19 июля"
SU102305,ДТК.группа поддержки продаж решений,215.0,1,"Корпоративная жизнь КРОК, Я и КРОК"
SU102418,ДРПО.группа развития бизнеса,200.0,1,Я и КРОК
SU102439,ДИРС.группа технических менеджеров по вычислительной инфраструктуре,3620.0,22,"Обмен опытом и повышение экспертизы, Проектный опыт, Поиск и развитие талантов, Я и КРОК, Другое"
SU102558,ДРПО.Управление контентом и документооборот.группа аналитиков,1830.0,11,"Корпоративная жизнь КРОК, Обмен опытом и повышение экспертизы, Проектный опыт, Ускорение бизнес-процессов, Я и КРОК, Поиск и развитие талантов"
SU102978,ДПМП.группа администраторов проектов по инженерным и мультимедийным системам,200.0,1,Я и КРОК
SU103239,ДТК.Сервис.группа техподдержки сетей передачи данных,4880.0,32,"Проектный опыт, Вклад в ИТ-образование, Корпоративная жизнь КРОК, Обмен опытом и повышение экспертизы, Поиск и развитие талантов, Другое, Я и КРОК"
SU103319,ДИМС.группа управления сервисными проектами,1675.0,14,"Проектный опыт, Корпоративная жизнь КРОК, Я и КРОК, Обмен опытом и повышение экспертизы, Ускорение бизнес-процессов"
SU103689,"ДРПО.Практика ""Роботехника"".группа разработки робототехнических решений",200.0,1,Я и КРОК
SU103763,ДПМП.группа отраслевых решений,200.0,1,Я и КРОК
SU103934,ДИРС.группа инженеров по вычислительной инфраструктуре,820.0,3,"Я и КРОК, Поиск и развитие талантов, Проектный опыт, Квест 15-19 июля"
SU104,ДТК.Сервис.группа управления сервисными проектами,3300.0,3,"Croc Voices, Поиск и развитие талантов, Другое, Вклад в ИТ-образование, Ускорение бизнес-процессов, Я и КРОК"
SU104042,ДИРС.группа поддержки продаж решений по программной инфраструктуре,205.0,1,"Корпоративная жизнь КРОК, Я и КРОК"
SU104171,ДРПО.ГИС.цифровые экосистемы.группа тестировщиков,2400.0,17,"Проектный опыт, Я и КРОК, Обмен опытом и повышение экспертизы, Поиск и развитие талантов, Другое"
SU104174,ДИМС.Группа электроснабжения и климатических систем,3330.0,13,"Корпоративная жизнь КРОК, Проектный опыт, Поиск и развитие талантов, Другое, Квест 15-19 июля, Обмен опытом и повышение экспертизы, Я и КРОК"
SU104206,ДБП.группа технических менеджеров по 1С и автоматизации бизнес-процессов,2575.0,12,"Поиск и развитие талантов, Проектный опыт, Корпоративная жизнь КРОК, Другое, Обмен опытом и повышение экспертизы, Я и КРОК"
SU104387,ДВА.группа разработки инфраструктурных приложений,2315.0,19,"Корпоративная жизнь КРОК, Квест 15-19 июля, Другое, Проектный опыт, Обмен опытом и повышение экспертизы, Я и КРОК"
SU104538,ДИРС.Облачные сервисы.группа эксплуатации облачных сервисов,400.0,2,"Я и КРОК, Ускорение бизнес-процессов"
SU104562,ДВА.группа разработки HR-tech решений,980.0,6,"Проектный опыт, Квест 15-19 июля, Корпоративная жизнь КРОК, Поиск и развитие талантов, Я и КРОК"
SU104601,ДРП.отдел обучения,20.0,1,"Другое, Корпоративная жизнь КРОК"
SU104644,Отдел подготовки тендеров,1740.0,3,"Корпоративная жизнь КРОК, Другое, Поиск и развитие талантов, Я и КРОК"
SU104678,ДИМС.технические менеджеры по инженерным системам,1605.0,1,"Корпоративная жизнь КРОК, Обмен опытом и повышение экспертизы, Поиск и развитие талантов, Я и КРОК"
SU104859,ДИРС.группа инженеров по инфраструктурному ПО,6155.0,10,"Вклад в ИТ-образование, Обмен опытом и повышение экспертизы, Корпоративная жизнь КРОК, Другое, Поиск и развитие талантов, Проектный опыт, Я и КРОК, Croc Voices, Ускорение бизнес-процессов"
SU104974,ДИРС.группа инженеров по вычислительной инфраструктуре,1615.0,4,"Проектный опыт, Корпоративная жизнь КРОК, Вклад в ИТ-образование, Ускорение бизнес-процессов, Поиск и развитие талантов, Я и КРОК"
