Внешний код,Факт. департамент,Факт. подразделение,Факт. группа,Факт. должность,Является РМ/ТЛ,Стаж фактический по компании,Пол,Возраст
SU181063,Департамент внутренней автоматизации,,центральная служба технической поддержки,Инженер технической поддержки,нет,"2 г., 9 мес.,12 дн.",Мужской,23
SU198055,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа разработчиков,Инженер-разработчик,нет,"0 г., 9 мес.,15 дн.",Женский,25
SU158012,Департамент инфраструктурных решений и сервисов,группа инженеров технической поддержки,,Старший инженер технической поддержки,нет,"3 г., 8 мес.,9 дн.",Мужской,34
SU196620,Департамент телекоммуникаций,,Группа поддержки продаж сетевых решений,Менеджер по работе с партнерами,нет,"1 г., 5 мес.,10 дн.",Женский,29
SU160331,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа разработчиков,Инженер-разработчик,нет,"3 г., 7 мес.,10 дн.",Мужской,27
SU206,Департамент инженерных и мультимедийных систем,,монтажники,Монтажник,нет,"16 г., 9 мес.,15 дн.",Мужской,58
SU197562,Департамент телекоммуникаций,Цифровое производство,группа инженеров цифрового производства,Системный аналитик,нет,"1 г., 0 мес.,22 дн.",Женский,25
SU165076,Административно-эксплуатационный департамент,Отдел по эксплуатации инженерных систем,,Инженер-диспетчер,нет,"3 г., 4 мес.,4 дн.",Мужской,57
SU432,Департамент инженерных и мультимедийных систем,группа инженеров по мультимедийным системам,,Эксперт,нет,"17 г., 5 мес.,23 дн.",Мужской,43
SU137790,Департамент инфраструктурных решений и сервисов,,группа UNIX и Open Source,Ведущий инженер,нет,"4 г., 9 мес.,11 дн.",Мужской,52
SU61296,Административно-эксплуатационный департамент,Отдел по эксплуатации инженерных систем,,Диспетчер,нет,"11 г., 10 мес.,28 дн.",Мужской,66
SU158950,Департамент продаж и менеджмента проектов,,группа продаж,Директор по работе с корпоративными клиентами,нет,"3 г., 7 мес.,10 дн.",Женский,41
SU189876,Департамент инфраструктурных решений и сервисов,,группа инженеров поддержки баз данных,Эксперт,нет,"2 г., 2 мес.,6 дн.",Мужской,43
SU197279,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа инженеров технической поддержки по информационной безопасности,Младший инженер технической поддержки,нет,"1 г., 2 мес.,9 дн.",Мужской,23
SU118753,Департамент продаж и менеджмента проектов,,группа управления проектами и поддержки продаж,Менеджер проектов,нет,"5 г., 4 мес.,15 дн.",Мужской,30
SU197624,Департамент инфраструктурных решений и сервисов,группа инженеров по инфраструктурному ПО,,Системный инженер,нет,"1 г., 0 мес.,9 дн.",Мужской,39
SU55608,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа разработчиков,Ведущий инженер-разработчик,нет,"7 г., 8 мес.,24 дн.",Мужской,42
SU197705,Департамент бизнес-приложений,,группа консультантов по производству,Консультант по внедрению бизнес-приложений,нет,"0 г., 11 мес.,1 дн.",Мужской,22
SU149521,Департамент бизнес-приложений,,Группа консультантов по автоматизации бизнес-процессов,Консультант по внедрению бизнес-приложений,нет,"4 г., 1 мес.,1 дн.",Женский,27
SU191117,Департамент по работе с персоналом,,Корпоративная культура,Менеджер по развитию корпоративной культуры,нет,"2 г., 0 мес.,15 дн.",Женский,22
SU190779,Департамент инфраструктурных решений и сервисов,группа инженеров по вычислительной инфраструктуре,,Младший инженер,нет,"2 г., 1 мес.,2 дн.",Мужской,21
SU237,Департамент инженерных и мультимедийных систем,технические менеджеры по инженерным системам,,Технический менеджер,нет,"17 г., 1 мес.,13 дн.",Мужской,41
SU199028,Департамент бизнес-приложений,,группа консультантов по финансам,Стажер,нет,"0 г., 4 мес.,25 дн.",Мужской,20
SU78866,Финансовый департамент,отдел налоговой и бухгалтерской отчетности,,Главный бухгалтер,нет,"18 г., 5 мес.,23 дн.",Женский,47
