Код сотрудника,Не важные миссии,Полезные миссии,Очень полезные миссии,Выполнил Креативный класс,Выполнил HiPo,Выполнил HiPro,Выполнил Звезда департамента,Факт. департамент,Факт. подразделение,Факт. группа,Факт. должность,Является РМ/ТЛ,Стаж фактический по компании,Пол,Возраст,Эффективность,Всего миссий,Среднее миссий на сотрудника,Продуктивность сотрудника
SU100026,0,1,0,False,False,False,False,Департамент маркетинга,группа маркетологов,Не указано,Бизнес-партнёр по маркетингу,True,"6 г., 6 мес.,7 дн.",Женский,33.0,False,1,20.005903574942604,0.05
SU100135,7,13,0,False,False,False,False,Департамент инженерных и мультимедийных систем,Группа СКС и Автоматизации инженерных систем,Не указано,Ведущий инженер,True,"6 г., 6 мес.,16 дн.",Мужской,45.0,True,20,20.005903574942604,0.65
SU100238,1,11,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа инженеров технической поддержки,Инженер технической поддержки,True,"3 г., 3 мес.,2 дн.",Мужской,35.0,True,12,20.005903574942604,0.55
SU100262,1,14,4,True,False,False,False,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа развития бизнеса,Менеджер по продвижению решений,True,"6 г., 6 мес.,14 дн.",Мужской,28.0,True,19,20.005903574942604,0.92
SU100384,114,9,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа маркетинга,Ведущий телемаркетолог,True,"6 г., 6 мес.,9 дн.",Мужской,34.0,False,123,20.005903574942604,0.45
SU100415,27,2,3,True,False,False,False,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа маркетинга,"Ведущий контент-маркетолог, Тимлид",True,"6 г., 6 мес.,7 дн.",Мужской,29.0,False,32,20.005903574942604,0.26
SU100524,1,1,2,False,False,True,False,Административно-эксплуатационный департамент,"Служба охраны труда, пожарной безопасности и гражданской обороны",Не указано,"Руководитель службы охраны труда, Тимлид",True,"6 г., 5 мес.,30 дн.",Женский,30.0,False,4,20.005903574942604,0.16
SU100838,17,1,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа сопровождения ИТ-инфраструктур,Инженер,True,"6 г., 5 мес.,18 дн.",Мужской,27.0,False,18,20.005903574942604,0.05
SU100858,0,1,0,False,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа продаж,Директор по работе с корпоративными клиентами,True,"6 г., 5 мес.,11 дн.",Мужской,37.0,False,1,20.005903574942604,0.05
SU101039,126,27,2,False,True,True,False,Департамент внутренней автоматизации,Не указано,группа управления проектами,Менеджер проектов,True,"6 г., 5 мес.,4 дн.",Мужской,27.0,True,155,20.005903574942604,1.46
SU101059,38,2,9,True,True,False,False,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа инженеров технической поддержки по информационной безопасности,Руководитель группы,True,"6 г., 4 мес.,26 дн.",Мужской,29.0,True,49,20.005903574942604,0.59
SU101089,1,1,0,False,False,False,False,Департамент разработки программного обеспечения,Не указано,группа развития бизнеса,Заместитель директора департамента по продвижению решений,True,"6 г., 4 мес.,1 дн.",Мужской,37.0,False,2,20.005903574942604,0.05
SU101116,1,12,1,False,False,True,False,Департамент инфраструктурных решений и сервисов,Не указано,группа инженеров поддержки баз данных,"Ведущий системный инженер, Тимлид",True,"6 г., 4 мес.,21 дн.",Мужской,33.0,True,14,20.005903574942604,0.65
SU101142,1219,30,1,False,True,False,False,Департамент инфраструктурных решений и сервисов,группа инженеров по вычислительной инфраструктуре,Не указано,Старший инженер,True,"6 г., 4 мес.,27 дн.",Мужской,29.0,True,1250,20.005903574942604,1.55
SU101158,0,1,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа эксплуатации облачных сервисов,Старший инженер,True,"6 г., 4 мес.,12 дн.",Мужской,25.0,False,1,20.005903574942604,0.05
SU101444,25,4,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,группа инженеров по вычислительной инфраструктуре,Не указано,Младший инженер,True,"6 г., 4 мес.,21 дн.",Мужской,26.0,False,29,20.005903574942604,0.2
SU101858,2,5,1,False,False,True,False,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа разработчиков,Старший инженер-разработчик,True,"6 г., 3 мес.,28 дн.",Мужской,32.0,False,8,20.005903574942604,0.3
SU101878,3,11,5,True,False,True,False,Департамент инфраструктурных решений и сервисов,группа администраторов сервисных проектов,Не указано,Старший администратор проектов,True,"6 г., 4 мес.,11 дн.",Женский,27.0,True,19,20.005903574942604,0.82
SU101978,30,16,1,False,False,True,False,Департамент телекоммуникаций,Сервис,группа технической поддержки телефонии и Call-центров,Системный инженер,True,"6 г., 3 мес.,22 дн.",Мужской,37.0,True,47,20.005903574942604,0.85
SU102278,151,30,2,False,False,True,False,Департамент телекоммуникаций,Сервис,группа технической поддержки телефонии и Call-центров,Ведущий инженер,True,"6 г., 3 мес.,15 дн.",Мужской,33.0,True,183,20.005903574942604,1.61
SU102305,3,1,0,False,False,False,False,Департамент телекоммуникаций,Не указано,группа поддержки продаж решений,Финансовый аналитик,True,"6 г., 3 мес.,23 дн.",Женский,27.0,False,4,20.005903574942604,0.05
SU102439,1,16,1,False,True,False,False,Департамент инфраструктурных решений и сервисов,группа технических менеджеров по вычислительной инфраструктуре,Не указано,Технический менеджер,True,"6 г., 3 мес.,9 дн.",Мужской,34.0,True,18,20.005903574942604,0.85
SU102558,19,8,0,False,False,False,False,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа аналитиков,Старший системный аналитик,True,"6 г., 3 мес.,9 дн.",Мужской,32.0,False,27,20.005903574942604,0.4
SU103239,43,24,2,True,False,False,False,Департамент телекоммуникаций,Сервис,группа техподдержки сетей передачи данных,Системный инженер,True,"6 г., 3 мес.,7 дн.",Мужской,27.0,True,69,20.005903574942604,1.31
SU103319,27,11,0,False,False,False,False,Департамент инженерных и мультимедийных систем,группа управления сервисными проектами,Не указано,Сервис-менеджер,True,"6 г., 2 мес.,12 дн.",Женский,29.0,True,38,20.005903574942604,0.55
SU103689,0,1,0,False,False,False,False,Департамент разработки программного обеспечения,"Практика ""Роботехника""",группа разработки робототехнических решений,Инженер-разработчик,True,"6 г., 2 мес.,25 дн.",Мужской,26.0,False,1,20.005903574942604,0.05
SU103934,0,1,1,False,False,True,False,Департамент инфраструктурных решений и сервисов,группа инженеров по вычислительной инфраструктуре,Не указано,Младший инженер,True,"6 г., 2 мес.,19 дн.",Мужской,28.0,False,2,20.005903574942604,0.1
SU104,0,0,3,True,False,False,False,Департамент телекоммуникаций,Сервис,группа управления сервисными проектами,Руководитель группы,True,"16 г., 5 мес.,6 дн.",Женский,38.0,False,3,20.005903574942604,0.16
SU104042,1,1,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,группа поддержки продаж решений по программной инфраструктуре,Не указано,Менеджер по продвижению решений,True,"6 г., 2 мес.,5 дн.",Мужской,32.0,False,2,20.005903574942604,0.05
SU104171,2,13,1,False,False,True,False,Департамент разработки программного обеспечения,Государственные информационные системы,цифровые экосистемы. группа тестировщиков,Старший инженер-тестировщик,True,"6 г., 2 мес.,16 дн.",Женский,28.0,True,16,20.005903574942604,0.7
SU104174,116,7,2,True,False,True,False,Департамент инженерных и мультимедийных систем,Группа электроснабжения и климатических систем,Не указано,Ведущий инженер,True,"6 г., 2 мес.,3 дн.",Мужской,33.0,False,125,20.005903574942604,0.46
SU104206,2,11,2,False,True,False,False,Департамент бизнес-приложений,группа технических менеджеров по 1С,Не указано,Младший технический менеджер,True,"6 г., 2 мес.,2 дн.",Мужской,31.0,True,15,20.005903574942604,0.66
SU104387,8,7,0,False,False,False,False,Департамент внутренней автоматизации,Не указано,группа разработки инфраструктурных приложений,Ведущий инженер-разработчик,True,"6 г., 2 мес.,4 дн.",Мужской,25.0,False,15,20.005903574942604,0.35
SU104538,0,1,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа эксплуатации облачных сервисов,Инженер,True,"6 г., 1 мес.,27 дн.",Мужской,25.0,False,1,20.005903574942604,0.05
SU104562,6,2,0,False,False,False,False,Департамент внутренней автоматизации,Не указано,группа разработки HR-tech решений,Старший инженер-тестировщик,True,"6 г., 1 мес.,26 дн.",Мужской,28.0,False,8,20.005903574942604,0.1
